STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,HOUSEHOLD_TYPE,Household type,INCOME_PRINCIPAL,Earnings of the principal,INCOME_SPOUSE,Earnings of the spouse,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,DECIMALS,Decimals,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation status,CIVIL_STATUS,Civil status
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(1.0),Labour taxation – OECD comparative indicators,I,POL,Poland,AV_R_EMPER_SSC,Average rate of employer's social security contributions,PT_WG_EARN_G,Percentage of gross wage earnings,C_C0,"Couple, no children",AW100,100% of average wage,AW67,67% of average wage,A,Annual,2023,,16.35986,,2,Two,0,Units,A,Normal value,M,Married person
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(1.0),Labour taxation – OECD comparative indicators,I,POL,Poland,INIAICUGLC,Increase in net income after an increase of 1 currency unit in gross labour costs,XDC,National currency,S_C2,"Single person, 2 children",AW67,67% of average wage,_Z,Not applicable,A,Annual,2023,,0.760963,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(1.0),Labour taxation – OECD comparative indicators,I,GBR,United Kingdom,AV_R_EMPER_SSC,Average rate of employer's social security contributions,PT_WG_EARN_G,Percentage of gross wage earnings,C_C2,"Couple, 2 children",AW100,100% of average wage,AW67,67% of average wage,A,Annual,2023,,10.678778,,2,Two,0,Units,A,Normal value,M,Married person
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(1.0),Labour taxation – OECD comparative indicators,I,NZL,New Zealand,NPATR,Net personal average tax rate,PT_WG_EARN_G,Percentage of gross wage earnings,C_C2,"Couple, 2 children",AW100,100% of average wage,AW67,67% of average wage,A,Annual,2023,,19.142934,,2,Two,0,Units,A,Normal value,M,Married person
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(1.0),Labour taxation – OECD comparative indicators,I,TUR,Türkiye,AV_RITEESSC,Average rate of income tax and employees' social security contributions,PT_WG_EARN_G,Percentage of gross wage earnings,C_C0,"Couple, no children",AW100,100% of average wage,AW67,67% of average wage,A,Annual,2023,,25.40017,,2,Two,0,Units,A,Normal value,M,Married person
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(1.0),Labour taxation – OECD comparative indicators,I,USA,United States,NPATR,Net personal average tax rate,PT_WG_EARN_G,Percentage of gross wage earnings,C_C2,"Couple, 2 children",AW100,100% of average wage,AW100,100% of average wage,A,Annual,2023,,20.927462,,2,Two,0,Units,A,Normal value,M,Married person
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(1.0),Labour taxation – OECD comparative indicators,I,NOR,Norway,AV_ITR,Average income tax rate,PT_WG_EARN_G,Percentage of gross wage earnings,S_C2,"Single person, 2 children",AW67,67% of average wage,_Z,Not applicable,A,Annual,2023,,15.291785,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(1.0),Labour taxation – OECD comparative indicators,I,CHL,Chile,INIAICUGW,Increase in net income after an increase of 1 currency unit in gross wages,XDC,National currency,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2023,,0.966601,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(1.0),Labour taxation – OECD comparative indicators,I,SWE,Sweden,NPMTR_PE,Net personal marginal tax rate of the principal earner,PT_WG_EARN_G,Percentage of gross wage earnings,S_C2,"Single person, 2 children",AW67,67% of average wage,_Z,Not applicable,A,Annual,2023,,29.23828,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(1.0),Labour taxation – OECD comparative indicators,I,SVK,Slovak Republic,NIAT,Net income after taxes,USD_PPP,"US dollars, PPP converted",S_C0,"Single person, no children",AW67,67% of average wage,_Z,Not applicable,A,Annual,2023,,15698.844427,,2,Two,0,Units,A,Normal value,_Z,Not applicable
